名称,数量,百分比
org.jetbrains.kotlin.kotlin-maven-allopen,1,0.79
org.jetbrains.kotlin.kotlin-stdlib,1,0.79
org.springframework.ai.spring-ai-spring-boot-docker-compose,1,0.79
org.springframework.ai.spring-ai-model,1,0.79
org.springframework.ai.spring-ai-starter-mcp-client,1,0.79
org.springframework.boot.spring-boot-starter-oauth2-resource-server,1,0.79
org.jetbrains.kotlin.kotlin-reflect,1,0.79
org.powermock.powermock-api-mockito2,1,0.79
org.powermock.powermock-module-junit4,1,0.79
com.tigerbeetle.tigerbeetle-java,1,0.79
org.jboss.remotingjmx.remoting-jmx,1,0.79
org.eclipse.microprofile.config.microprofile-config-api,1,0.79
${project.groupid}.wildfly-mcp-server-common,1,0.79
io.mvnpm.importmap,1,0.79
org.wildfly.core.wildfly-cli,1,0.79
org.wildfly.mcp.wildfly-mcp-server-common,1,0.79
jakarta.platform.jakarta.jakartaee-api,1,0.79
org.wildfly.glow.wildfly-glow,1,0.79
org.mvnpm.wc-bubble,1,0.79
io.quarkiverse.langchain4j.quarkus-langchain4j-anthropic,1,0.79
org.apache.rocketmq.rocketmq-tools,1,0.79
org.eclipse.jetty.ee10.jetty-ee10-servlet,1,0.79
io.appium.java-client,1,0.79
org.glassfish.jaxb.jaxb-runtime,1,0.79
com.konghq.unirest-object-mappers-gson,1,0.79
net.coobird.thumbnailator,1,0.79
jakarta.xml.bind.jakarta.xml.bind-api,1,0.79
com.konghq.unirest-java-core,1,0.79
org.neo4j.driver.neo4j-java-driver,1,0.79
org.neo4j.test.neo4j-harness,1,0.79
io.quarkus.quarkus-jdbc-postgresql,1,0.79
org.openjfx.javafx-swing,1,0.79
org.openjfx.javafx-controls,1,0.79
io.quarkus.quarkus-junit5-component,1,0.79
io.fabric8.kubernetes-server-mock,1,0.79
io.fabric8.kubernetes-model-node,1,0.79
io.fabric8.kubernetes-model-coordination,1,0.79
org.openjfx.javafx-graphics,1,0.79
io.quarkus.quarkus-jdbc-sqlite,1,0.79
io.fabric8.kubernetes-client-api,1,0.79
io.fabric8.kubernetes-client,1,0.79
io.quarkiverse.fx.quarkus-fx,1,0.79
io.fabric8.kubernetes-model-certificates,1,0.79
io.fabric8.kubernetes-model-core,1,0.79
io.fabric8.kubernetes-model-extensions,1,0.79
io.fabric8.kubernetes-model-apps,1,0.79
com.github.docker-java.docker-java-core,1,0.79
io.fabric8.openshift-model,1,0.79
io.fabric8.kubernetes-model-autoscaling,1,0.79
io.fabric8.kubernetes-model-batch,1,0.79
io.quarkus.quarkus-jdbc-h2,1,0.79
io.fabric8.kubernetes-model-admissionregistration,1,0.79
io.quarkiverse.mcp.servers.mcp-server-shared,1,0.79
org.zeroturnaround.zt-exec,1,0.79
io.quarkus.quarkus-kubernetes-client,1,0.79
org.noear.solon-parent,1,0.79
io.vertx.vertx-web,1,0.79
com.jfinal.jfinal,1,0.79
com.jfinal.jfinal-undertow,1,0.79
org.springframework.boot.spring-boot-starter-hateoas,1,0.79
ch.qos.logback.logback-core,1,0.79
io.github.makbn.mcp-mediator-api,1,0.79
io.github.makbn.mcp-mediator-core,1,0.79
io.github.makbn.mcp-mediator-implementation-query,1,0.79
org.springframework.spring-beans,1,0.79
io.github.makbn.mcp-mediator-implementation-docker,1,0.79
io.github.makbn.mcp-mediator-spring,1,0.79
org.springframework.boot.spring-boot-autoconfigure,1,0.79
com.fasterxml.jackson.jackson-bom,1,0.79
com.dropbox.core.dropbox-core-sdk,1,0.79
org.apache.commons.commons-exec,1,0.79
jakarta.annotation.jakarta.annotation-api,1,0.79
org.springframework.spring-framework-bom,1,0.79
com.fasterxml.jackson.module.jackson-module-jsonschema,1,0.79
${project.groupid}.mcp-mediator-commons,1,0.79
org.springframework.security.spring-security-cas,1,0.79
org.springframework.security.spring-security-test,1,0.79
org.testcontainers.oracle-free,1,0.79
org.crac.crac,1,0.79
org.flywaydb.flyway-mysql,1,0.79
com.oracle.database.jdbc.ojdbc17,1,0.79
com.fasterxml.jackson.datatype.jackson-datatype-hibernate6,1,0.79
org.springframework.session.spring-session-data-redis,1,0.79
us.codecraft.webmagic-core,1,0.79
org.thymeleaf.extras.thymeleaf-extras-springsecurity6,1,0.79
org.springframework.boot.experimental.spring-boot-thin-layout,1,0.79
org.springframework.ai.spring-ai-starter-vector-store-mariadb,1,0.79
io.micrometer.micrometer-tracing-bridge-otel,1,0.79
org.springframework.ai.spring-ai-spring-boot-testcontainers,1,0.79
org.springframework.ai.spring-ai-starter-model-ollama,1,0.79
org.springframework.boot.spring-boot-testcontainers,1,0.79
org.mariadb.jdbc.mariadb-java-client,1,0.79
org.testcontainers.ollama,1,0.79
